id,name,name_en,category,manufacturer,type,torque,speed,weight,voltage,protocol,interface,position_resolution,applications,price_range,compatibility,ros_support,domestic_rate,import_dependency,verified,quarantine,data_quality,source,source_tier,confidence,mech_status,mech_mount_type,mech_standard,std_assessed,std_ros2,entity_kind
ACT-017,Anybotics ANYdrive 3.0,Anybotics ANYdrive 3.0,actuators,Anybotics,SEA_actuator,120 Nm,12 rad/s,2.1 kg,48V,EtherCAT,EtherCAT,19-bit,quadruped_ANYmal; industrial_inspection,1000+,ANYmal SDK; ROS2,True,,,False,False,ok,官方页面（未证实）：https://www.anybotics.com/,B,0.58,not_declared,unknown,,True,True,component
ACT-018,MIT Mini Cheetah Actuator,MIT Mini Cheetah Actuator,actuators,MIT/Custom,integrated_actuator,17 Nm,40.2 rad/s,260g,24V,CAN bus,CAN,14-bit,quadruped; research,200-400,custom firmware; ROS2,True,,,False,False,ok,,C,0.3,not_declared,unknown,,True,True,component
ACT-019,Faulhaber 3268 BP4,Faulhaber 3268 BP4,actuators,Faulhaber,DC_micro_motor,0.108 Nm,6000 rpm,280g,24V,MCDC controller,RS232/CAN,external encoder,precision_arm; medical_robot; micro_positioning,500-1000,Faulhaber MCDC; ROS2,True,,,False,False,ok,厂商目录声明值：Faulhaber（无原始链接，未核验）,B,0.5,not_declared,unknown,,True,True,component
ACT-020,Moog SmartMotor,Moog SmartMotor,actuators,Moog,integrated_servo,varies (up to 50 Nm),varies,varies,48-400V,EtherCAT/CANopen,EtherCAT/CAN/EthernetIP,20-bit,industrial_robot; simulator; defense,1000+,Moog SDK; ROS2,True,,,False,False,ok,厂商目录声明值：Moog（无原始链接，未核验）,B,0.5,not_declared,unknown,,True,True,component
ACT-021,Hebi X5 Actuator,Hebi X5 Actuator,actuators,Hebi Robotics,integrated_actuator,15 Nm,10 rad/s,325g,24V,UDP/TCP,Ethernet/WiFi,14-bit,modular_robot; research; education,300-600,Hebi API; ROS2,True,,,True,False,ok,官方页面：https://www.hebirobotics.com/actuators,A,0.88,not_declared,unknown,,True,True,component
ACT-022,Hebi X8 Actuator,Hebi X8 Actuator,actuators,Hebi Robotics,integrated_actuator,40 Nm,6 rad/s,660g,24V,UDP/TCP,Ethernet/WiFi,14-bit,humanoid; large_manipulator; research,500-800,Hebi API; ROS2,True,,,True,False,ok,官方页面：https://www.hebirobotics.com/actuators,A,0.88,not_declared,unknown,,True,True,component
ACT-023,Kinova Gen3 Actuator,Kinova Gen3 Actuator,actuators,Kinova,integrated_actuator,varies per joint,varies,integrated,24V,EtherCAT/proprietary,EtherCAT,high-res,robot_arm; assistive_robot; research,1000+,Kinova API; ROS2,True,,,True,False,ok,官方页面：https://www.kinovarobotics.com/product/gen3-robots,A,0.88,not_declared,unknown,,True,True,component
ACT-024,RoboDrive ILM 70,RoboDrive ILM 70,actuators,RoboDrive/Kollmorgen,frameless_torque_motor,3.5 Nm continuous,3000 rpm,0.7 kg,48V,external drive,EtherCAT/CANopen,external encoder,collaborative_robot; humanoid_joint; surgical,500-1000,various drives; ROS2,True,,,False,False,ok,,C,0.3,not_declared,unknown,,True,True,component
ACT-025,Innodisk Flexidrive,Innodisk Flexidrive,actuators,Innodisk,linear_actuator,varies,varies,varies,12-24V,PWM/UART,UART/PWM,potentiometer,gripper; linear_motion; industrial,50-200,Arduino; ROS2,True,,,False,False,ok,,C,0.3,not_declared,unknown,,True,True,component
ACT-026,Festo DSBC,Festo DSBC,actuators,Festo,pneumatic_cylinder,varies (pneumatic),varies,varies,24V (valve),IO-Link/EtherNetIP,IO-Link/EtherNetIP/PROFINET,analog/digital,industrial_automation; gripper; pick_place,200-1000,Festo CPX; ROS2,True,,,False,False,ok,官方页面（未证实）：https://www.festo.com/,B,0.55,not_declared,unknown,,True,True,component
ACT-027,Schunk EGP Gripper,Schunk EGP Gripper,actuators,Schunk,electric_gripper,gripping force 25-250N,0.05-0.3s,0.9 kg,24V,PROFINET/EtherCAT,PROFINET/EtherCAT/IO-Link,adjustable,pick_place; assembly; collaborative_robot,500-1500,various robot arms; ROS2,True,,,False,False,ok,官方页面（未证实）：https://schunk.com/,B,0.58,not_declared,unknown,,True,True,component
ACT-028,Robotiq 2F-85 Gripper,Robotiq 2F-85 Gripper,actuators,Robotiq,adaptive_gripper,gripping force 20-235N,0.15-1.2s,0.9 kg,24V,Modbus TCP,Ethernet/USB/RS485,4 positions,pick_place; machine_tending; collaborative_robot,300-600,UR; ROS2,True,,,True,False,ok,Robotiq 官方产品手册（含尺寸工程图）：https://assets.robotiq.com/website-assets/support_documents/document/2F-85_2F-140_TM-OMRON_InstructionManual_20190206.pdf,A,0.95,declared,flange_mount,"['ISO 9409-1-50-4-M6', 'ISO 9409-1-31.5-4-M5', 'ISO 9409-1-40-4-M6']",True,True,component
ACT-029,Dexai Allegro Hand v4,Dexai Allegro Hand v4,actuators,Dexai/Wonik Robotics,dexterous_hand,varies per joint,varies,1.1 kg,24V,EtherCAT,EtherCAT,16-bit per joint,dexterous_manipulation; research; humanoid_hand,5000+,ROS2; custom SDK,True,,,False,False,ok,,C,0.3,not_declared,unknown,,True,True,component
ACT-030,Shadow Dexterous Hand,Shadow Dexterous Hand,actuators,Shadow Robot,dexterous_hand,varies per joint,varies,4.3 kg,24V,EtherCAT/proprietary,EtherCAT/USB,high-res per joint,dexterous_manipulation; research; teleoperation,10000+,Shadow SDK; ROS2,True,,,True,False,ok,官方页面：https://www.shadowrobot.com/dexterous-hand-series/,A,0.88,not_declared,unknown,,True,True,component
ACT-031,Lynxmotion LSS Arm,Lynxmotion LSS Arm,actuators,Lynxmotion,smart_servo,3.2 Nm,0.18 sec/60°,56g,6-12V,UART,UART/daisy-chain,10-bit,education; hobby_robot; small_arm,0-50,LSS API; Arduino,False,,,False,False,ok,,C,0.3,not_declared,unknown,,True,False,component
ACT-032,Agility Robotics Digit Actuator,Agility Robotics Digit Actuator,actuators,Agility Robotics,custom_actuator,classified,classified,classified,classified,proprietary,proprietary bus,classified,Digit humanoid,N/A (internal),Digit SDK,False,,,False,False,ok,官方页面（未证实）：https://www.agilityrobotics.com/,B,0.58,not_declared,unknown,,True,False,component
ACT-mit-electrofluidic,MIT Electrofluidic Fiber Muscles,MIT Electrofluidic Fiber Muscles,actuators,,artificial_muscle,,,,,,,,,,,,,,True,False,ok,web aggregation (credibility A),C,0.72,not_declared,unknown,,False,,component
ACT-hyundai-gripper,Hyundai Custom Robot Gripper,Hyundai Custom Robot Gripper,actuators,,gripper,,,,,,,,,,,,,,True,False,ok,web aggregation (credibility B),C,0.62,not_declared,unknown,,False,,component
ACT-schaeffler-planetary,Schaeffler Planetary Gear Actuator,Schaeffler Planetary Gear Actuator,actuators,Schaeffler,planetary_gear_actuator,高扭矩密度,,,,,,,humanoid; industrial,enterprise,,,,,True,False,ok,web aggregation (credibility A),C,0.72,not_declared,unknown,,False,,component
ACT-lg-actuator,LG Electronics Robotics Actuator,LG Electronics Robotics Actuator,actuators,LG Electronics,smart_actuator,,,,,,,,humanoid; home_service,consumer,,,,,True,False,ok,web aggregation (credibility A),C,0.72,not_declared,unknown,,False,,component
ACT-tesla-optimus-hand,Tesla Optimus Gen 3 Hand Actuator,Tesla Optimus Gen 3 Hand Actuator,actuators,Tesla,dexterous_hand,精密力控,,,,,,,humanoid; manipulation,enterprise,,,,,True,False,ok,web aggregation (credibility B),C,0.62,not_declared,unknown,,False,,component
ACT-robotis-20dof-hand,ROBOTIS 20-DOF Robot Hand,ROBOTIS 20-DOF Robot Hand,actuators,ROBOTIS,dexterous_hand,,,,,,,,humanoid; research; manipulation,500-2000,,,,,True,False,ok,web aggregation (credibility B),C,0.62,not_declared,unknown,,False,,component
ACT-first-a301,FIRST A301 Motor,FIRST A301 Motor,actuators,FIRST,standard_motor,,,,,,,,education; competition; hobby,0-100,,,,,True,False,ok,web aggregation (credibility B),C,0.62,not_declared,unknown,,False,,component
ACT-high-torque-mini-hi,High Torque Robotics Mini Hi,High Torque Robotics Mini Hi,actuators,High Torque Robotics,high_torque_actuator,,,,,,,,humanoid; industrial,enterprise,,,,,False,False,ok,web aggregation (credibility C),C,0.45,not_declared,unknown,,False,,component
ACT-high-torque-pi,High Torque Robotics Pi,High Torque Robotics Pi,actuators,High Torque Robotics,compact_actuator,,,,,,,,humanoid; manipulator,enterprise,,,,,False,False,ok,web aggregation (credibility C),C,0.45,not_declared,unknown,,False,,component
ACT-hyundai-mobis-atlas,Hyundai Mobis Atlas Actuator,Hyundai Mobis Atlas Actuator,actuators,Hyundai Mobis,mass_production_actuator,,,,,,,,humanoid; industrial,enterprise,,,,,True,False,ok,web aggregation (credibility A),C,0.72,not_declared,unknown,,False,,component
ACT-unitree-b2-motor-v2,Unitree B2 Motor v2,Unitree B2 Motor v2,actuators,Unitree,smart_actuator,,,,,,,,humanoid; quadruped,200-500,,,,,True,False,ok,web aggregation (credibility B),C,0.62,not_declared,unknown,,False,,component
ACT-figure-03-actuator,Figure 03 Custom Actuator,Figure 03 Custom Actuator,actuators,Figure AI,custom_actuator,,,,,,,,humanoid; industrial,enterprise,,,,,True,False,ok,web aggregation (credibility B),C,0.62,not_declared,unknown,,False,,component
ACT-atlas-electric-actuator,Boston Dynamics Electric Atlas Actuator,Boston Dynamics Electric Atlas Actuator,actuators,Boston Dynamics,electric_actuator,,,,,,,,humanoid; industrial,enterprise,,,,,True,False,ok,web aggregation (credibility A),C,0.72,not_declared,unknown,,False,,component
ACT-kai-humanoid-actuator,KAI Humanoid Actuator,KAI Humanoid Actuator,actuators,KAI Robotics,humanoid_actuator,,,,,,,,humanoid,enterprise,,,,,False,False,ok,web aggregation (credibility C),C,0.45,not_declared,unknown,,False,,component
ACT-omni-humanoid-actuator,OMNI Humanoid Actuator,OMNI Humanoid Actuator,actuators,OMNI Robotics,humanoid_actuator,,,,,,,,humanoid; service,enterprise,,,,,False,False,ok,web aggregation (credibility C),C,0.45,not_declared,unknown,,False,,component
ACT-1x-neo-actuator,1X NEO Actuator,1X NEO Actuator,actuators,1X Technologies,humanoid_actuator,,,,,,,,humanoid; home_service,enterprise,,,,,True,False,ok,web aggregation (credibility B),C,0.62,not_declared,unknown,,False,,component
ACT-schaeffler-hexagon,Schaeffler-Hexagon Joint Module,Schaeffler-Hexagon Joint Module,actuators,Schaeffler/Hexagon Robotics,joint_module,,,,,,,,humanoid; industrial,enterprise,,,,,True,False,ok,web aggregation (credibility A),C,0.72,not_declared,unknown,,False,,component
ACT-roland-berger-hd-actuator,Roland Berger HD Actuator Series,Roland Berger HD Actuator Series,actuators,多家,high_density_actuator,,,,,,,,humanoid; industrial; service,varies,,,,,True,False,ok,web aggregation (credibility A),C,0.72,n_a,,,False,,market_intelligence
ACT-tmotor-ak80-9-v2,T-Motor AK80-9 v2,T-Motor AK80-9 v2,actuators,T-Motor,smart_actuator,17.8 Nm,8.1 rad/s,,,,,,humanoid; quadruped; manipulator,200-500,,,,,True,False,ok,web aggregation (credibility B),C,0.62,not_declared,unknown,,False,,component
ACT-cubemars-gl40-v2,CubeMars GL40 v2,CubeMars GL40 v2,actuators,CubeMars,smart_actuator,,,,,,,,humanoid; quadruped,200-500,,,,,True,False,ok,web aggregation (credibility B),C,0.62,not_declared,unknown,,False,,component
ACT-faulhaber-3274,Faulhaber 3274 BP4,Faulhaber 3274 BP4,actuators,Faulhaber,micro_motor,,,,,,,,humanoid; medical; precision,500-1000,,,,,True,False,ok,web aggregation (credibility A),C,0.72,not_declared,unknown,,False,,component
ACT-moog-smartmotor-v2,Moog SmartMotor v2,Moog SmartMotor v2,actuators,Moog,smart_servo,,,,,,,,industrial_robot; CNC; humanoid,1000-5000,,,,,True,False,ok,web aggregation (credibility A),C,0.72,not_declared,unknown,,False,,component
ACT-schaeffler-compact,Schaeffler Compact Actuator (CES 2026),Schaeffler Compact Actuator (CES 2026),actuators,Schaeffler,integrated_actuator,高扭矩密度,,,,,,,humanoid; industrial,enterprise,,,,,True,False,ok,web aggregation (credibility A),C,0.72,not_declared,unknown,,False,,component
ACT-kpower-servo,Kpower Humanoid Servo,Kpower Humanoid Servo,actuators,Kpower (广东),smart_servo,,,,,,,,humanoid; education,50-300,,,,,True,False,ok,web aggregation (credibility B),C,0.62,not_declared,unknown,,False,,component
ACT-welling-joint,Welling Parts Joint Module,Welling Parts Joint Module,actuators,Welling Parts,integrated_actuator,,,,,,,,humanoid; industrial,enterprise,,,,,True,False,ok,web aggregation (credibility B),C,0.62,not_declared,unknown,,False,,component
ACT-mosrac-whg240,Mosrac WHG-240 Frameless BLDC,Mosrac WHG-240 Frameless BLDC,actuators,Mosrac,frameless_torque_motor,高扭矩密度,低转速高扭矩,轻量化,48V,,,,humanoid; collaborative_robot,200-500,,,,,True,False,ok,web aggregation (credibility B),C,0.62,not_declared,unknown,,False,,component
ACT-honpine-hpjm-v2,HONPINE HPJM v2 Joint Module,HONPINE HPJM v2 Joint Module,actuators,HONPINE,integrated_actuator,,,,,,,,humanoid; manipulator,enterprise,,,,,True,False,ok,web aggregation (credibility B),C,0.62,not_declared,unknown,,False,,component
ACT-ct-unite-gan-encoder-actuator,CT-Unite GaN Encoder Actuator,CT-Unite GaN Encoder Actuator,actuators,CT-Unite,smart_actuator,,,,,,,,humanoid; industrial,enterprise,,,,,True,False,ok,web aggregation (credibility B),C,0.62,not_declared,unknown,,False,,component
ACT-optimus-gen3-hand,Tesla Optimus Gen 3 Hand (50 Actuators),Tesla Optimus Gen 3 Hand (50 Actuators),actuators,Tesla,dexterous_hand,精密力控,,,,,,,humanoid; manipulation; assembly,enterprise,,,,,True,False,ok,web aggregation (credibility A),C,0.72,not_declared,unknown,,False,,component
ACT-neura-dyna-hand,Neura Dyna Dexterous Hand,Neura Dyna Dexterous Hand,actuators,Neura Robotics,dexterous_hand,,,,,,,,humanoid; manipulation,enterprise,,,,,True,False,ok,web aggregation (credibility B),C,0.62,not_declared,unknown,,False,,component
ACT-lg-cloid-actuator,LG Cloid Robotics Actuator,LG Cloid Robotics Actuator,actuators,LG Electronics,smart_actuator,,,,,,,,humanoid; home_service,consumer,,,,,True,False,ok,web aggregation (credibility A),C,0.72,not_declared,unknown,,False,,component
ACT-keyirobot-hand,KeyiRobot Dexterous Hand Actuator,KeyiRobot Dexterous Hand Actuator,actuators,KeyiRobot,dexterous_hand,,,,,,,,humanoid; manipulation,enterprise,,,,,True,False,ok,web aggregation (credibility B),C,0.62,not_declared,unknown,,False,,component
ACT-schaeffler-4in1-compact,Schaeffler 4-in-1 Compact Actuator,Schaeffler 4-in-1 Compact Actuator,actuators,Schaeffler,integrated_actuator,高扭矩密度,,,,,,,humanoid; industrial,enterprise,,,,,True,False,ok,web aggregation (credibility A),C,0.72,not_declared,unknown,,False,,component
ACT-unitree-g1-hand,Unitree G1 Dexterous Hand,Unitree G1 Dexterous Hand,actuators,Unitree,dexterous_hand,,,,,,,,humanoid; manipulation,200-500,,,,,True,False,ok,web aggregation (credibility A),C,0.72,not_declared,unknown,,False,,component
ACT-robozaps-actuator,RoboZaps Humanoid Actuator Kit,RoboZaps Humanoid Actuator Kit,actuators,RoboZaps,actuator_kit,,,,,,,,humanoid; education; research,500-2000,,,,,False,False,ok,web aggregation (credibility C),C,0.45,not_declared,unknown,,False,,component
ACT-humanoid-1000-deal,Humanoid-Schaeffler 1000+ Robot Actuator,Humanoid-Schaeffler 1000+ Robot Actuator,actuators,Humanoid/Schaeffler,mass_production_actuator,,,,,,,,humanoid; industrial,enterprise,,,,,True,False,ok,web aggregation (credibility A),C,0.72,not_declared,unknown,,False,,component
ACT-inspire-linear-servo,INSPIRE Micro Linear Servo Actuator,INSPIRE Micro Linear Servo Actuator,actuators,,linear_servo,,,,,,,,,,,,,,True,False,ok,web_search_2026,C,0.6,not_declared,unknown,,False,,component
ACT-inspire-dexterous-hand,INSPIRE Dexterous Hand,INSPIRE Dexterous Hand,actuators,,dexterous_hand,,,,,,,,,,,,,,True,False,ok,web_search_2026,C,0.6,not_declared,unknown,,False,,component
ACT-dea-soft,Dielectric Elastomer Actuator (DEA),Dielectric Elastomer Actuator (DEA),actuators,,artificial_muscle,,,,,,,,,,,,,,True,False,ok,web_search_2026,C,0.6,not_declared,unknown,,False,,component
ACT-iai-robot-lineup,IAI America Robot Actuator Lineup,IAI America Robot Actuator Lineup,actuators,,smart_actuator,,,,,,,,,,,,,,True,False,ok,web_search_2026,C,0.6,not_declared,unknown,,False,,component
ACT-bd-atlas-electric-v2,Boston Dynamics Atlas Electric Actuator v2,Boston Dynamics Atlas Electric Actuator v2,actuators,,integrated_actuator,,,,,,,,,,,,,,True,False,ok,web_search_2026,C,0.6,not_declared,unknown,,False,,component
ACT-tesla-optimus-v2,Tesla Optimus Gen 3 Actuator Suite,Tesla Optimus Gen 3 Actuator Suite,actuators,,integrated_actuator,,,,,,,,,,,,,,True,False,ok,web_search_2026,C,0.6,not_declared,unknown,,False,,component
ACT-first-a301-v2,FIRST A301 Motor v2,FIRST A301 Motor v2,actuators,,smart_servo,,,,,,,,,,,,,,True,False,ok,web_search_2026,C,0.6,not_declared,unknown,,False,,component
ACT-hyundai-bd-atlas-prod,Hyundai/Boston Dynamics Atlas Production Actuator,Hyundai/Boston Dynamics Atlas Production Actuator,actuators,,integrated_actuator,,,,,,,,,,,,,,True,False,ok,web_search_2026,C,0.6,not_declared,unknown,,False,,component
act-schaeffler-modular,Schaeffler Modular Joint System,Schaeffler Modular Joint System,actuators,,modular_actuator,,,,,,,,,,,,,,True,False,ok,web aggregation (credibility A),C,0.72,not_declared,unknown,,False,,component
act-kpower-fullbody,Kpower Full-Body Servo Kit,Kpower Full-Body Servo Kit,actuators,,servo_kit,,,,,,,,,,,,,,True,False,ok,web aggregation (credibility B),C,0.62,not_declared,unknown,,False,,component
act-welling-harmonic,Welling Parts Harmonic Drive Module,Welling Parts Harmonic Drive Module,actuators,,harmonic_drive_joint,,,,,,,,,,,,,,True,False,ok,web aggregation (credibility B),C,0.62,not_declared,unknown,,False,,component
act-welling-planetary,Welling Parts Planetary Drive Module,Welling Parts Planetary Drive Module,actuators,,planetary_drive_joint,,,,,,,,,,,,,,True,False,ok,web aggregation (credibility B),C,0.62,not_declared,unknown,,False,,component
act-mosrac-48v-series,Mosrac 48V BLDC Motor Series,Mosrac 48V BLDC Motor Series,actuators,,frameless_bldc,,,,,,,,,,,,,,True,False,ok,web aggregation (credibility B),C,0.62,not_declared,unknown,,False,,component
act-ct-unite-gan-production,CT-Unite GaN Encoder Actuator (Production),CT-Unite GaN Encoder Actuator (Production),actuators,,gan_encoder_actuator,,,,,,,,,,,,,,True,False,ok,web aggregation (credibility B),C,0.62,not_declared,unknown,,False,,component
act-agility-digit-v2,Agility Robotics Digit v2 Actuator,Agility Robotics Digit v2 Actuator,actuators,,bipedal_actuator,,,,,,,,,,,,,,True,False,ok,web aggregation (credibility A),C,0.72,not_declared,unknown,,False,,component
act-patsnap-analysis,Humanoid Actuator Patent Landscape,Humanoid Actuator Patent Landscape,actuators,,patent_analysis,,,,,,,,,,,,,,True,False,ok,web aggregation (credibility A),C,0.72,n_a,,,False,,market_intelligence
ACT-iai-robot,IAI Intelligent Actuator Robot,IAI Intelligent Actuator Robot,actuators,IAI America,integrated_actuator,,,,,,,,industrial_robot; pick_place; assembly,200-2000,,,,,True,False,ok,web aggregation (credibility B),C,0.62,not_declared,unknown,,False,,component
ACT-patsnap-actuator,PatSnap Humanoid Actuator Analysis,PatSnap Humanoid Actuator Analysis,platforms,多家,market_report,,,,,,,,humanoid; industrial,varies,,,,,True,False,ok,web aggregation (credibility B),C,0.62,n_a,,,False,,market_intelligence
ACT-iai-new-lineup,IAI New Robot Lineup,IAI New Robot Lineup,actuators,IAI,robot_actuator,,,,,,,,industrial_robot; assembly; pick_place,100-2000,,,,,True,False,ok,web aggregation (credibility B),C,0.62,not_declared,unknown,,False,,component
ACT-cubemars-ak45-36,CubeMars AK45-36,CubeMars AK45-36,actuators,CubeMars,integrated_actuator,,,,,,,,humanoid; quadruped; industrial,500-1500,,,,,True,False,ok,web aggregation (credibility B),C,0.62,not_declared,unknown,,False,,component
ACT-cubemars-ak70-10,CubeMars AK70-10,CubeMars AK70-10,actuators,CubeMars,integrated_actuator,,,,,,,,humanoid; exoskeleton,400-1200,,,,,True,False,ok,web aggregation (credibility B),C,0.62,not_declared,unknown,,False,,component
ACT-cubemars-qdd,CubeMars QDD Motor Series,CubeMars QDD Motor Series,actuators,CubeMars,qdd_actuator,,,,,,,,humanoid; quadruped; exoskeleton,300-2000,,,,,True,False,ok,web aggregation (credibility B),C,0.62,not_declared,unknown,,False,,component
ACT-cubemars-frameless,CubeMars Frameless Torque Motor,CubeMars Frameless Torque Motor,actuators,CubeMars,frameless_motor,,,,,,,,humanoid; gimbal; exoskeleton,200-800,,,,,True,False,ok,web aggregation (credibility B),C,0.62,not_declared,unknown,,False,,component
ACT-bonsystems-bcsa,Bonsystems BCSA (Cycloidal Smart Actuator),Bonsystems BCSA (Cycloidal Smart Actuator),actuators,,,,,,,,,,,,,,,,True,False,ok,en.bonsystems.com (URL 引用),B,0.6,not_declared,unknown,,False,,component
ACT-agility-digit-v2,Agility Robotics Digit New Actuators,Agility Robotics Digit New Actuators,actuators,,,,,,,,,,,,,,,,True,False,ok,agilityrobotics.com (URL 引用),B,0.6,not_declared,unknown,,False,,component
